Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2022,August-2022 ,8/22/2022,Telangana,Telangana,RAMAGUNDEM STPSUnit 1,RAMAGUNDEM STPS UNIT 1,200,200,4.52,3.40,4.00,0.00,70.83,OK,0,Low Capacity,
2025,May-2025 ,5/28/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 7,VINDHYACHAL STPS UNIT 7,500,500,11.45,9.91,19.00,0.00,82.58,OK,0,Low Capacity,
2018,January-2018 ,1/12/2018,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,4.06,4.55,0.00,0.00,90.28,OK,0,Low Capacity,
2025,May-2025 ,5/2/2025,Telangana,Telangana,RAMAGUNDEM STPSUnit 6,RAMAGUNDEM STPS UNIT 6,500,500,10.87,8.27,27.00,0.00,68.92,OK,0,Low Capacity,
2019,December-2019 ,12/18/2019,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,4.09,4.42,4.00,0.00,87.70,OK,0,Low Capacity,
2024,February-2024 ,2/25/2024,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 1,DADRI (NCTPP) UNIT 1,210,210,4.03,2.93,16.00,0.00,58.13,OK,0,Low Capacity,
2020,February-2020 ,2/19/2020,West Bengal,West Bengal,FARAKKA STPSUnit 6,FARAKKA STPS UNIT 6,500,500,9.97,11.29,12.00,0.00,94.08,OK,0,Low Capacity,
2021,January-2021 ,1/13/2021,Odisha,Odisha,TALCHER STPSUnit 4,TALCHER STPS UNIT 4,500,500,9.74,11.02,20.00,0.00,91.83,OK,0,Low Capacity,
2024,January-2024 ,1/26/2024,Bihar,Bihar,BARAUNI TPSUnit 6,BARAUNI TPS UNIT 6,105,0,0.00,0.00,16.00,105.00,0.00,OK,0,Low Capacity,
2022,July-2022 ,7/26/2022,Odisha,Odisha,TALCHER STPSUnit 1,TALCHER STPS UNIT 1,500,500,10.03,12.01,13.00,0.00,100.08,OK,0,Low Capacity,
2024,October-2024 ,10/16/2024,Telangana,Telangana,TELANGANA STPP PH-1Unit 2,TELANGANA STPP PH-1 UNIT 2,800,800,11.23,16.07,21.00,0.00,83.70,OK,0,High Capacity,
2025,October-2025 ,10/9/2025,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,4.87,4.17,11.00,0.00,82.74,OK,0,Low Capacity,
2025,February-2025 ,2/25/2025,Madhya Pradesh,Madhya Pradesh,GADARWARA TPPUnit 1,GADARWARA TPP UNIT 1,800,800,17.71,17.21,18.00,0.00,89.64,OK,0,High Capacity,
2022,Jun-2022,21-Jun-2022,Telangana,,TELANGANA STPP_Unit 2,TELANGANA STPP UNIT 2,0,0,0.27,0,0,0,0,,,,
2022,February-2022 ,2/5/2022,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 6,RIHAND STPS UNIT 6,500,500,10.25,11.66,25.00,0.00,97.17,OK,0,Low Capacity,
2017,September-2017 ,9/18/2017,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 4,SIPAT STPS UNIT 4,500,500,10.07,11.69,0.00,0.00,97.42,OK,0,Low Capacity,
2022,January-2022 ,1/17/2022,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 3,RIHAND STPS UNIT 3,500,500,10.26,11.11,13.00,0.00,92.58,OK,0,Low Capacity,
2020,January-2020 ,1/28/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,3.94,4.65,12.00,0.00,92.26,OK,0,Low Capacity,
2025,March-2025 ,3/16/2025,Telangana,Telangana,RAMAGUNDEM STPSUnit 5,RAMAGUNDEM STPS UNIT 5,500,500,11.03,8.93,27.00,0.00,74.42,OK,0,Low Capacity,
2020,June-2020 ,6/4/2020,Gujarat,Gujarat,KAWAS CCPP,KAWAS CCPP,656,318,3.66,2.64,0.00,338.20,16.76,OK,0,Low Capacity,
2022,September-2022 ,9/12/2022,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,11.93,11.97,12.00,0.00,99.75,OK,0,Low Capacity,
2020,January-2020 ,1/25/2020,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 1,TANDA TPS UNIT 1,110,110,1.94,1.74,28.00,0.00,65.91,OK,0,Low Capacity,
2022,January-2022 ,1/5/2022,Odisha,Odisha,DARLIPALI STPSUnit 1,DARLIPALI STPS UNIT 1,800,0,12.19,0.00,32.00,800.00,0.00,OK,0,Low Capacity,
